Modell auf cuda geladen.
loaded 338025 tokens from input.txt
loaded 338025 tokens from input.txt
loaded 36059 tokens from val.txt
W0630 22:53:02.533000 55183 /system/conda/miniconda3/envs/cloudspace/lib/python3.12/site-packages/torch/_inductor/utils.py:1436] [0/0] Not enough SMs to use max_autotune_gemm mode
step 0, loss: 10.9929, lr 6.0000e-05, norm: 10.0512, dt: 82206.22ms, tok/sec: 6378, MFU: 5.7%
step 1, loss: 9.8717, lr 1.2000e-04, norm: 10.1256, dt: 28024.84ms, tok/sec: 18708, MFU: 16.8%
step 2, loss: 9.3825, lr 1.8000e-04, norm: 2.9375, dt: 28346.02ms, tok/sec: 18496, MFU: 16.6%
step 3, loss: 9.0564, lr 2.4000e-04, norm: 2.7630, dt: 28473.62ms, tok/sec: 18413, MFU: 16.5%
step 4, loss: 8.8445, lr 3.0000e-04, norm: 2.8491, dt: 28550.90ms, tok/sec: 18363, MFU: 16.5%
step 5, loss: 8.6040, lr 3.6000e-04, norm: 2.1640, dt: 28531.35ms, tok/sec: 18376, MFU: 16.5%
step 6, loss: 8.3659, lr 4.2000e-04, norm: 2.3201, dt: 29004.81ms, tok/sec: 18076, MFU: 16.2%
step 7, loss: 8.0820, lr 4.8000e-04, norm: 2.0950, dt: 28538.73ms, tok/sec: 18371, MFU: 16.5%
step 8, loss: 7.7445, lr 5.4000e-04, norm: 1.6361, dt: 28534.06ms, tok/sec: 18374, MFU: 16.5%
step 9, loss: 7.3928, lr 6.0000e-04, norm: 2.1977, dt: 28556.43ms, tok/sec: 18360, MFU: 16.5%
step 10, loss: 7.0795, lr 6.0000e-04, norm: 2.5167, dt: 28525.91ms, tok/sec: 18379, MFU: 16.5%
step 11, loss: 6.7787, lr 5.9917e-04, norm: 1.6407, dt: 28551.32ms, tok/sec: 18363, MFU: 16.5%
step 12, loss: 6.5269, lr 5.9668e-04, norm: 1.0225, dt: 28530.85ms, tok/sec: 18376, MFU: 16.5%
step 13, loss: 6.3723, lr 5.9254e-04, norm: 0.9337, dt: 28533.76ms, tok/sec: 18374, MFU: 16.5%
step 14, loss: 6.2088, lr 5.8679e-04, norm: 1.3854, dt: 28550.44ms, tok/sec: 18364, MFU: 16.5%
step 15, loss: 6.1706, lr 5.7945e-04, norm: 2.5918, dt: 28533.10ms, tok/sec: 18375, MFU: 16.5%
step 16, loss: 6.1048, lr 5.7057e-04, norm: 1.7798, dt: 28553.88ms, tok/sec: 18361, MFU: 16.5%
step 17, loss: 5.9892, lr 5.6021e-04, norm: 1.5472, dt: 28522.72ms, tok/sec: 18381, MFU: 16.5%
step 18, loss: 5.9708, lr 5.4843e-04, norm: 2.8961, dt: 28542.66ms, tok/sec: 18369, MFU: 16.5%
step 19, loss: 5.8508, lr 5.3531e-04, norm: 1.6977, dt: 28541.87ms, tok/sec: 18369, MFU: 16.5%
step 20, loss: 5.7896, lr 5.2092e-04, norm: 1.5441, dt: 28614.76ms, tok/sec: 18322, MFU: 16.5%
step 21, loss: 5.7842, lr 5.0535e-04, norm: 3.4329, dt: 28649.11ms, tok/sec: 18300, MFU: 16.4%
step 22, loss: 5.6237, lr 4.8870e-04, norm: 1.3057, dt: 28544.46ms, tok/sec: 18367, MFU: 16.5%
step 23, loss: 5.5491, lr 4.7107e-04, norm: 1.5593, dt: 28714.13ms, tok/sec: 18259, MFU: 16.4%
step 24, loss: 5.4235, lr 4.5258e-04, norm: 0.7736, dt: 28556.61ms, tok/sec: 18360, MFU: 16.5%
